CRN	Subj	No.	Title	Building	Room	Days	Begin	End	Max	Actual	Avail	Waitlist	Crosslist	Actual	Instructor
10581	ANT	102	Intro to Archaeology	STA	101	T R	10:00 AM	11:20 AM	24	1	23	0			Mary Ann Levine
10582	ANT	200	Theory in Anthropology	UNK	0	M W	11:00 AM	12:20 PM	30	12	18	0			Michael Billig
10583	ANT	259	Cultures of the Middle East	UNK	0	M W	1:00 PM	2:20 PM	25	6	19	0			Bridget Guarasci
10584	ANT	261	North American Indians	STA	101	T R	12:45 PM	2:05 PM	20	4	16	0	24	4	Mary Ann Levine
10586	ANT	269	Cultures of the World	STA	101	M W	8:30 AM	9:50 AM	25	6	19	0			. Staff
10589	ANT	372	Invisible Worlds	UNK	0	M	1:30 PM	4:20 PM	15	5	10	0			Misty Bastian
10590	ANT	371	Power in Formation	SCC	SEM	R	1:30 PM	4:20 PM	15	6	9	0			Bridget Guarasci
10591	ANT	380	Arch of Colonialsm Natv N Amer	STA	101	W	1:30 PM	4:20 PM	10	3	7	0	15	3	Mary Ann Levine
10593	ANT	410	Anthropological Methods	UNK	0	T	1:30 PM	4:20 PM	25	13	12	0			Tate LeFevre
10595	ARB	101	Elementary Arabic I	UNK	0	T R	8:30 AM	9:50 AM	18	0	18	0			Kaley Keener
10595	ARB	101	Elementary Arabic I	UNK	0	M W	9:00 AM	9:50 AM	18	0	18	0			Kaley Keener
10596	ARB	201	Intermediate Arabic I	UNK	0	T R	10:00 AM	11:20 AM	18	0	18	0			Kaley Keener
10596	ARB	201	Intermediate Arabic I	UNK	0	M W	10:00 AM	10:50 AM	18	0	18	0			Kaley Keener
10597	ARB	301	Advanced Arabic I	UNK	0	T R	2:15 PM	3:35 PM	18	1	17	0			. Staff
10093	ART	115	Greek Art & Archaeology	UNK	0	M W F	10:00 AM	10:50 AM	5	0	5	0	25	0	Ann Steiner
10364	ART	265	Contemporary Graphic Novel	UNK	0	T R	8:30 AM	9:50 AM	19	1	18	0	19	7	Kerry Sherin
10694	ART	103	Learning to See: Art Histories	KEI	114	M W F	10:00 AM	10:50 AM	25	1	24	0			Michael Clapper
10695	ART	247	History of Fashionable Dress	KEI	114	M W	11:00 AM	12:20 PM	25	5	20	0			Amelia Rauser
10697	ART	271	African Art in Diaspora	KEI	114	M W F	12:30 PM	1:20 PM	25	1	24	0	25	1	. Staff
10698	ART	273	Global Contemporary Art	KEI	114	T R	7:30 PM	8:50 PM	25	2	23	0	25	3	. Staff
10699	ART	121	Intro to Architecture I	KEI	114	T R	10:00 AM	11:20 AM	30	1	29	0			Konstantinos Kourelis
10700	ART	175	Migration Architecture	KEI	114	T R	12:45 PM	2:05 PM	25	1	24	0	25	1	Konstantinos Kourelis
10702	ART	461	Art HistCapstone:Thomas Eakins	HUE	20	W	1:30 PM	4:20 PM	12	3	9	0			Michael Clapper
10703	ART	114	Introductory Drawing	HER	200	M W	9:00 AM	11:50 AM	15	3	12	0			Jun-Cheng Liu
10704	ART	116	Introductory Sculpture	HER	104	M W	9:00 AM	11:50 AM	15	8	7	0			Virginia Maksymowicz
10705	ART	114	Introductory Drawing	HER	200	M W	1:30 PM	4:20 PM	15	0	15	0			Magnolia Laurie
10706	ART	230	Papermaking and Casting	HER	106	M W	1:30 PM	4:20 PM	15	2	13	0			Virginia Maksymowicz
10707	ART	222	Painting	HER	202	M W	1:30 PM	4:20 PM	15	0	15	0			Jun-Cheng Liu
10708	ART	272	Interm Drawing Figure & Narrat	HER	200	M W	7:30 PM	9:20 PM	15	2	13	0			Magnolia Laurie
10709	ART	114	Introductory Drawing	HER	200	T R	8:30 AM	11:20 AM	15	1	14	0			Kevin Brady
10710	ART	218	Intro to Architectural Design	HER	206	T R	8:30 AM	11:20 AM	15	0	15	0			Carol Hickey
10711	ART	242	Digital Photography I	HER	204	T R	8:30 AM	11:20 AM	15	1	14	0			. Staff
10713	ART	242	Digital Photography I	HER	204	T R	1:30 PM	4:20 PM	15	3	12	0			. Staff
10714	ART	375	Black & White Photography	HER	204	M W	7:30 PM	10:20 PM	15	6	9	0			. Staff
10715	ART	224	Chinese Brush and Ink Painting	HER	202	T R	1:30 PM	4:20 PM	15	8	7	0			Jun-Cheng Liu
10757	ART	112	Color and Design	HER	206	T R	1:30 PM	4:20 PM	15	4	11	0			Kevin Brady
10496	AST	421	Experimental Methods Astrophys	HAC	220	T R	1:30 PM	4:20 PM	9	5	4	0			Fronefield Crawford
10497	AST	100	Survey of Astronomy	UNK	0	M W F	9:00 AM	9:50 AM	27	7	20	0			Andrea Lommen
10498	AST	100	Survey of Astronomy	KAU	204	T R	10:00 AM	11:20 AM	27	7	20	0			Fronefield Crawford
10499	AST	100	Lab	KAU	204	M	7:30 PM	9:20 PM	18	7	11	0			Andrea Lommen
10500	AST	100	Lab	KAU	204	T	7:30 PM	9:20 PM	18	5	13	0			Elizabeth Praton
10501	AST	100	Lab	KAU	204	W	7:30 PM	9:20 PM	18	2	16	0			. Staff
10245	BFB	250	Animal Behavior	LSP	33	T	1:30 PM	4:20 PM	16	6	10	0	16	6	Elizabeth Lonsdorf
10245	BFB	250	Animal Behavior	LSP	130	M W	11:00 AM	12:20 PM	16	6	10	0	16	6	Elizabeth Lonsdorf
10246	BIO	250	Animal Behavior	LSP	130	M W	11:00 AM	12:20 PM	16	0	16	0	16	6	Elizabeth Lonsdorf
10246	BIO	250	Animal Behavior	LSP	33	T	1:30 PM	4:20 PM	16	0	16	0	16	6	Elizabeth Lonsdorf
10267	BIO	210	Biostatistics	LSP	143	M W F	11:00 AM	12:20 PM	20	3	17	0			Clara Moore
10267	BIO	210	Biostatistics	LSP	143	M W F	11:00 AM	12:20 PM	20	3	17	0			Mark Olson
10268	BIO	210	Biostatistics	LSP	317	T R F	10:00 AM	11:20 AM	20	1	19	0			Aaron Howard
10268	BIO	210	Biostatistics	LSP	317	T R F	10:00 AM	11:20 AM	20	1	19	0			Clara Moore
10269	BIO	220	Principles Physiol & Devel	LSP	213	T	12:45 PM	4:35 PM	22	1	21	0			Clara Moore
10269	BIO	220	Principles Physiol & Devel	LSP	138	M W F	9:00 AM	9:50 AM	22	1	21	0			Clara Moore
10270	BIO	220	Principles Physiol & Devel	LSP	138	T R	8:30 AM	9:50 AM	22	1	21	0			Aaron Howard
10270	BIO	220	Principles Physiol & Devel	LSP	213	W	12:30 PM	4:20 PM	22	1	21	0			Aaron Howard
10271	BIO	220	Principles Physiol & Devel	UNK	0	T R	8:30 AM	9:50 AM	22	0	22	0			Sybil Gotsch
10271	BIO	220	Principles Physiol & Devel	LSP	210	T	12:45 PM	4:35 PM	22	0	22	0			Sybil Gotsch
10272	BIO	220	Principles Physiol & Devel	LSP	210	W	12:30 PM	4:20 PM	22	1	21	0			Sybil Gotsch
10272	BIO	220	Principles Physiol & Devel	UNK	0	T R	10:00 AM	11:20 AM	22	1	21	0			Sybil Gotsch
10273	BIO	220	Principles Physiol & Devel	UNK	0	T R	8:30 AM	9:50 AM	22	0	22	0			Stephanie Stoehr
10273	BIO	220	Principles Physiol & Devel	LSP	213	R	12:45 PM	4:35 PM	22	0	22	0			Stephanie Stoehr
10274	BIO	220	Principles Physiol & Devel	UNK	0	T R	10:00 AM	11:20 AM	22	2	20	0			Stephanie Stoehr
10274	BIO	220	Principles Physiol & Devel	LSP	213	M	12:30 PM	4:20 PM	22	2	20	0			Stephanie Stoehr
10275	BIO	305	Genetics	LSP	343	T	12:45 PM	4:35 PM	18	7	11	0			Jaime Blair
10275	BIO	305	Genetics	UNK	0	T R	8:30 AM	9:50 AM	18	7	11	0			Jaime Blair
10276	BIO	305	Genetics	UNK	0	T R	10:00 AM	11:20 AM	18	17	1	0			Jaime Blair
10276	BIO	305	Genetics	LSP	343	W	12:30 PM	4:20 PM	18	17	1	0			Jaime Blair
10277	BIO	305	Genetics	UNK	0	W F	11:00 AM	12:20 PM	18	6	12	0			Jorge Mena-Ali
10277	BIO	305	Genetics	LSP	343	R	12:45 PM	4:35 PM	18	6	12	0			Jorge Mena-Ali
10278	BIO	245	American Nature Essays	LSP	130	T R	8:30 AM	9:50 AM	16	1	15	0	16	3	Timothy Sipe
10278	BIO	245	American Nature Essays	LSP	256	W	12:30 PM	4:20 PM	16	1	15	0	16	3	Timothy Sipe
10280	BIO	340	Plant Ecology	LSP	363	T	12:45 PM	4:35 PM	16	7	9	0	16	8	Timothy Sipe
10280	BIO	340	Plant Ecology	LSP	256	M W	8:30 AM	9:50 AM	16	7	9	0	16	8	Timothy Sipe
10282	BIO	336	Evolution	LSP	214	T	12:45 PM	4:35 PM	16	9	7	0			Daniel Ardia
10282	BIO	336	Evolution	LSP	256	T R	10:00 AM	11:20 AM	16	9	7	0			Daniel Ardia
10283	BIO	310	Experimental Design in Biology	LSP	256	F	1:30 PM	4:20 PM	16	8	8	0			Janet Fischer
10284	BIO	353	Immunobiology	LSP	256	T R	8:30 AM	9:50 AM	16	12	4	0			Beckley Davis
10284	BIO	353	Immunobiology	LSP	341	M	12:30 PM	4:20 PM	16	12	4	0			Beckley Davis
10285	BIO	341	Neurochemistry	LSP	258	T R	10:00 AM	11:20 AM	16	8	8	0			Robert Jinks
10285	BIO	341	Neurochemistry	LSP	242	R	12:45 PM	4:35 PM	16	8	8	0			Robert Jinks
10286	BIO	371	Topics: Cell Bio	LSP	256	M W F	10:00 AM	10:50 AM	16	5	11	0			Clara Moore
10286	BIO	371	Topics: Cell Bio	LSP	315	F	12:30 PM	4:20 PM	16	5	11	0			Clara Moore
10286	BIO	371	Topics: Cell Bio	LSP	256	M W F	10:00 AM	10:50 AM	16	5	11	0			. Staff
10286	BIO	371	Topics: Cell Bio	LSP	315	F	12:30 PM	4:20 PM	16	5	11	0			. Staff
10396	BIO	257	Conservation Paleobiology	HAC	131	M	1:30 PM	4:20 PM	5	2	3	0	20	9	Paul Harnik
10396	BIO	257	Conservation Paleobiology	HAC	131	M W	11:00 AM	12:20 PM	5	2	3	0	20	9	Paul Harnik
10731	BIO	354	Epidemiology	LSP	317	M W	11:00 AM	12:20 PM	16	0	16	0	16	15	Janine Everett
10731	BIO	354	Epidemiology	LSP	317	M	1:30 PM	4:20 PM	16	0	16	0	16	15	Janine Everett
10731	BIO	354	Epidemiology	LSP	317	M W	11:00 AM	12:20 PM	16	0	16	0	16	15	. Staff
10731	BIO	354	Epidemiology	LSP	317	M	1:30 PM	4:20 PM	16	0	16	0	16	15	. Staff
10733	BIO	354	Epidemiology	LSP	143	T R	8:30 AM	9:50 AM	16	0	16	0	16	12	. Staff
10733	BIO	354	Epidemiology	LSP	143	T R	8:30 AM	9:50 AM	16	0	16	0	16	12	Janine Everett
10733	BIO	354	Epidemiology	LSP	143	R	1:30 PM	4:20 PM	16	0	16	0	16	12	Janine Everett
10733	BIO	354	Epidemiology	LSP	143	R	1:30 PM	4:20 PM	16	0	16	0	16	12	. Staff
10141	BOS	200	Strategies for Organizing	HAR	102	T R	7:30 PM	8:50 PM	25	1	24	0			Jeffrey Podoshen
10142	BOS	200	Strategies for Organizing	HAR	102	M W	7:30 PM	8:50 PM	25	4	21	0			Jeffrey Podoshen
10143	BOS	200	Strategies for Organizing	HAR	102	M W	1:00 PM	2:20 PM	25	1	24	0			William Schneper
10144	BOS	200	Strategies for Organizing	HAR	136	T	1:30 PM	4:20 PM	25	0	25	0			William Schneper
10145	BOS	200	Strategies for Organizing	UNK	0	M W	11:00 AM	12:20 PM	25	8	17	0			Conrad Kasperson
10146	BOS	200	Strategies for Organizing	UNK	0	M W	1:00 PM	2:20 PM	25	1	24	1			Conrad Kasperson
10147	BOS	224	Accounting for Decision Making	HAR	102	M W F	8:45 AM	9:50 AM	25	2	23	1			Alan Glazer
10148	BOS	224	Accounting for Decision Making	HAR	102	M W F	11:00 AM	12:05 PM	25	5	20	3			Alan Glazer
10149	BOS	250	Quantitative Methods	UNK	0	T R	10:00 AM	11:20 AM	25	0	25	2			. Staff
10150	BOS	250	Quantitative Methods	UNK	0	T R	12:45 PM	2:05 PM	25	1	24	2			. Staff
10151	BOS	277	Law & Entrepreneurship	UNK	0	R	1:30 PM	4:20 PM	16	9	7	0			Adam Tenenbaum
10154	BOS	324	Analysis & Control Systems	HAR	102	T R	12:45 PM	2:05 PM	25	17	8	1			Cynthia Krom
10155	BOS	324	Analysis & Control Systems	HAR	102	T R	2:15 PM	3:35 PM	25	5	20	2			Cynthia Krom
10156	BOS	332	"Law, Ethics & Society"	HAR	102	T R	10:00 AM	11:20 AM	25	7	18	8			Jeffrey Nesteruk
10157	BOS	332	"Law, Ethics & Society"	UNK	0	M W F	9:00 AM	9:50 AM	25	2	23	2			Adam Tenenbaum
10158	BOS	335	Business & Natural Environ	UNK	0	M W	3:00 PM	4:20 PM	25	1	24	3			. Staff
10159	BOS	341	Marketing	HAR	102	T R	4:45 PM	6:05 PM	25	10	15	3			Jeffrey Podoshen
10160	BOS	341	Marketing	HAR	102	M W	3:30 PM	4:20 PM	25	13	12	0			Jeffrey Podoshen
10161	BOS	360	Finance	HAR	137	T R	12:45 PM	2:05 PM	25	23	2	0			Seth Kopchak
10162	BOS	360	Finance	HAR	137	T R	2:15 PM	3:35 PM	25	13	12	0			Seth Kopchak
10163	BOS	350	International Business	UNK	0	M W	3:00 PM	4:20 PM	22	0	22	1	25	0	. Staff
10165	BOS	363	Portfolio Management	HAR	137	W	1:00 PM	4:20 PM	25	4	21	1			Seth Kopchak
10650	BOS	315	Organizational Behavior	HAR	137	T R	8:30 AM	9:50 AM	25	3	22	0			Nicole Young
10651	BOS	315	Organizational Behavior	HAR	137	T R	10:00 AM	11:20 AM	25	7	18	2			Nicole Young
10753	BOS	350	International Business	UNK	0	M W	11:00 AM	12:20 PM	22	11	11	2	25	14	. Staff
10765	BOS	372	Creativity/Innovation & Design	UNK	0	F	1:30 PM	4:20 PM	18	7	11	0	18	11	Etienne Gagnon
10768	BOS	335	Business & Natural Environ	UNK	0	M W	11:00 AM	12:20 PM	25	9	16	6			. Staff
10041	CHM	111	General Chemistry 1	HAC	311	M W F	8:00 AM	8:50 AM	23	0	23	0			. Staff
10041	CHM	111	General Chemistry 1	HAC	312	M	12:30 PM	4:20 PM	23	0	23	0			. Staff
10042	CHM	111	General Chemistry 1	HAC	311	M W F	9:00 AM	9:50 AM	23	0	23	0			. Staff
10042	CHM	111	General Chemistry 1	HAC	311	R	12:45 PM	4:35 PM	23	0	23	0			. Staff
10043	CHM	111	General Chemistry 1	UNK	0	M W F	9:00 AM	9:50 AM	23	0	23	0			Christine Piro
10043	CHM	111	General Chemistry 1	HAC	311	T	12:45 PM	4:35 PM	23	0	23	0			Christine Piro
10044	CHM	111	General Chemistry 1	UNK	0	M W F	10:00 AM	10:50 AM	23	0	23	0			Christine Piro
10044	CHM	111	General Chemistry 1	HAC	311	F	12:30 PM	4:20 PM	23	0	23	0			Christine Piro
10045	CHM	111	General Chemistry 1	HAC	311	M W F	10:00 AM	10:50 AM	23	1	22	0			Jennifer Morford
10045	CHM	111	General Chemistry 1	HAC	311	M	12:30 PM	4:20 PM	23	1	22	0			Jennifer Morford
10046	CHM	111	General Chemistry 1	HAC	312	M W F	10:00 AM	10:50 AM	23	0	23	0			Scott Brewer
10046	CHM	111	General Chemistry 1	HAC	312	T	12:45 PM	4:35 PM	23	0	23	0			Scott Brewer
10047	CHM	111	General Chemistry 1	HAC	311	M W F	11:00 AM	11:50 AM	23	0	23	0			Jennifer Morford
10047	CHM	111	General Chemistry 1	HAC	311	W	12:30 PM	4:20 PM	23	0	23	0			Jennifer Morford
10048	CHM	111	General Chemistry 1	HAC	312	R	12:45 PM	4:35 PM	23	0	23	0			Scott Brewer
10048	CHM	111	General Chemistry 1	HAC	312	M W F	11:00 AM	11:50 AM	23	0	23	0			Scott Brewer
10049	CHM	111	General Chemistry 1	UNK	0	T R	8:30 AM	9:50 AM	23	0	23	0			Kenneth Hess
10049	CHM	111	General Chemistry 1	HAC	312	W	12:30 PM	4:20 PM	23	0	23	0			Kenneth Hess
10050	CHM	111	General Chemistry 1	UNK	0	T R	12:45 PM	2:05 PM	15	0	15	0			Kenneth Hess
10050	CHM	111	General Chemistry 1	HAC	405	F	12:30 PM	4:20 PM	15	0	15	0			Kenneth Hess
10050	CHM	111	General Chemistry 1	HAC	405	F	12:30 PM	4:20 PM	15	0	15	0			Katherine Plass
10050	CHM	111	General Chemistry 1	UNK	0	T R	12:45 PM	2:05 PM	15	0	15	0			Katherine Plass
10051	CHM	111	General Chemistry 1	HAC	312	F	12:30 PM	4:20 PM	23	0	23	0			Richard Moog
10051	CHM	111	General Chemistry 1	UNK	0	T R	2:15 PM	3:35 PM	23	0	23	0			Richard Moog
10052	CHM	211	Organic Chemistry 1	HAC	405	M W F	8:00 AM	8:50 AM	21	1	20	0			Marcus Thomsen
10052	CHM	211	Organic Chemistry 1	HAC	408	M	12:30 PM	4:20 PM	21	1	20	0			Marcus Thomsen
10053	CHM	211	Organic Chemistry 1	HAC	405	M W F	9:00 AM	9:50 AM	21	0	21	0			Phyllis Leber
10053	CHM	211	Organic Chemistry 1	HAC	408	T	12:45 PM	4:35 PM	21	0	21	0			Phyllis Leber
10054	CHM	211	Organic Chemistry 1	HAC	408	W	12:30 PM	4:20 PM	21	0	21	0			Marcus Thomsen
10054	CHM	211	Organic Chemistry 1	HAC	405	M W F	10:00 AM	10:50 AM	21	0	21	0			Marcus Thomsen
10055	CHM	211	Organic Chemistry 1	HAC	405	M W F	11:00 AM	11:50 AM	21	4	17	0			Edward Fenlon
10055	CHM	211	Organic Chemistry 1	HAC	408	R	12:30 PM	4:20 PM	21	4	17	0			Edward Fenlon
10056	CHM	211	Organic Chemistry 1	UNK	0	M W F	9:00 AM	9:50 AM	21	0	21	0			Scott Van Arman
10056	CHM	211	Organic Chemistry 1	HAC	408	F	12:45 PM	4:35 PM	21	0	21	0			Scott Van Arman
10057	CHM	222	Inorganic Chemistry	HAC	412	M W F	9:00 AM	9:50 AM	18	3	15	0			Katherine Plass
10057	CHM	222	Inorganic Chemistry	HAC	315	W	12:30 PM	4:20 PM	18	3	15	0			Katherine Plass
10058	CHM	321	Thermodyn & Kinetics	HAC	412	M W F	11:00 AM	11:50 AM	24	11	13	0			Alexander Davis
10059	CHM	321	Thermodyn & Kinetics LAB	HAC	315	M	12:30 PM	4:20 PM	12	5	7	0			Alexander Davis
10060	CHM	321	Thermodyn & Kinetics LAB	HAC	315	T	12:45 PM	4:35 PM	12	6	6	0			Alexander Davis
10061	CHM	351	Introductory Biochemistry	HAC	412	M W F	10:00 AM	10:50 AM	16	7	9	2			Gabriel Brandt
10061	CHM	351	Introductory Biochemistry	LSP	341	R	12:45 PM	4:35 PM	16	7	9	2			Gabriel Brandt
10314	CHN	101	Elementary Chinese I	UNK	0	M W F	10:00 AM	10:50 AM	18	1	17	0			Hongchang Yao
10315	CHN	101	Elementary Chinese I	UNK	0	M W F	11:00 AM	11:50 AM	18	0	18	0			Hongchang Yao
10316	CHN	101	Drill	UNK	0	T R	8:30 AM	9:20 AM	12	0	12	0			Sijia Niu
10317	CHN	101	Drill	UNK	0	T R	12:45 PM	1:35 PM	12	1	11	0			Sijia Niu
10318	CHN	101	Drill	UNK	0	T R	2:15 PM	3:05 PM	12	0	12	0			Sijia Niu
10319	CHN	201	Intermediate Chinese I	UNK	0	M T W R	9:00 AM	9:50 AM	18	3	15	0			Shuai Shao
10320	CHN	301	Upper Intermediate Chinese	UNK	0	M W	12:00 PM	1:20 PM	18	1	17	0			Sijia Niu
10321	CHN	175	Intro to Chinese Culture	UNK	0	M W	1:00 PM	2:20 PM	18	4	14	0			Hongchang Yao
10322	CHN	472	Chinese through Movies	UNK	0	M W	2:30 PM	3:50 PM	18	3	15	0			Sijia Niu
10069	CLS	210	History of Ancient Philosophy	LSP	257	M W F	10:00 AM	10:50 AM	5	3	2	0	25	14	Lee Franklin
10090	CLS	114	History of Ancient Rome	UNK	0	M W F	11:00 AM	11:50 AM	20	0	20	0	25	0	Alexis Castor
10092	CLS	115	Greek Art & Archaeology	UNK	0	M W F	10:00 AM	10:50 AM	20	0	20	0	25	0	Ann Steiner
10094	CLS	271	Ancient Medicine	UNK	0	T R	10:00 AM	11:20 AM	12	3	9	2	19	10	Ryan Fowler
10096	CLS	242	Gender/Sexuality in Antiquity	UNK	0	T R	12:45 PM	2:05 PM	19	6	13	0			Gretchen Meyers
10010	CNX	128	Solo Performance Art	UNK	0	W	1:30 PM	4:20 PM	16	0	16	0			Brian Silberman
10063	CNX	102	Thinking about Seeing	LSP	257	T R	8:30 AM	9:50 AM	16	0	16	0			Stephan Kaufer
10105	CNX	170	The Meaning of Myth	GOE	207	M W F	2:30 PM	3:20 PM	16	0	16	0			Shawn O'Bryhim
10139	CNX	107	"Nat Resources, Conflict & Coop"	UNK	0	M W	8:30 AM	9:50 AM	16	0	16	0			Bryan Stinchfield
10175	CNX	103	Rivers & Regions	UNK	0	T R	12:45 PM	2:05 PM	16	0	16	0			David Schuyler
10188	CNX	184	Myth & FairyTale:Jrny&Meaning	UNK	0	T R	2:15 PM	3:35 PM	16	0	16	0			Mary Barbara Sands Hall
10190	CNX	184	Myth & FairyTale:Jrny&Meaning	UNK	0	T R	12:45 PM	2:05 PM	16	0	16	0			Mary Barbara Sands Hall
10191	CNX	185	Who Reads Books?	UNK	0	M W	1:00 PM	2:20 PM	16	0	16	0			Tamara Goeglein
10192	CNX	185	Who Reads Books?	UNK	0	M W	3:00 PM	4:20 PM	16	0	16	0			Tamara Goeglein
10194	CNX	115	Mortality & Meaning	HAR	236	T R	12:45 PM	2:05 PM	16	0	16	0			Dean Hammer
10195	CNX	116	The Cyborg Self	UNK	0	M W	3:00 PM	4:20 PM	16	0	16	0			Nina Kollars
10227	CNX	186	What Aren't We Addicted To?	UNK	0	T R	10:00 AM	11:20 AM	16	0	16	0			Ryan Lacy
10265	CNX	131	Genes and Medicine	LSP	258	T R	8:30 AM	9:50 AM	16	0	16	0			Robert Jinks
10302	CNX	187	The Bible as Literature	UNK	0	T R	10:00 AM	11:20 AM	16	0	16	0			Stephen Cooper
10303	CNX	188	The Good Life	UNK	0	T R	10:00 AM	11:20 AM	16	0	16	0			David McMahan
10408	CNX	175	Medieval Cities	UNK	0	T R	10:00 AM	11:20 AM	16	0	16	0			Benjamin McRee
10409	CNX	189	Freedom of Speech	UNK	0	M W F	10:00 AM	10:50 AM	16	0	16	0			Matthew Hoffman
10410	CNX	173	Politics & Culture of Food	UNK	0	M W	11:00 AM	12:20 PM	16	0	16	0			Abby Schrader
10411	CNX	265	"US in the World, 1914-19"	UNK	0	M W F	9:00 AM	9:50 AM	16	0	16	0			Louise Stevenson
10432	CNX	176	Woman and the Sense of Place	UNK	0	T R	8:30 AM	9:50 AM	16	0	16	0			Carmen Tisnado
10433	CNX	176	Woman and the Sense of Place	UNK	0	T R	2:15 PM	3:35 PM	16	0	16	0			Carmen Tisnado
10434	CNX	155	Girls Gone Wild	UNK	0	M W	11:00 AM	12:20 PM	16	0	16	0			Nadra Hebouche
10435	CNX	190	TBD - ECO	UNK	0	M W	2:30 PM	3:50 PM	16	0	16	0			Raymond Maynard
10491	CNX	104	America in the Age of Nixon	UNK	0	T R	8:30 AM	9:50 AM	16	0	16	0			Daniel Frick
10492	CNX	134	Why Shakespeare?	UNK	0	T R	10:00 AM	11:20 AM	16	0	16	0			Justin Hopkins
